emotion ,Song,songName,artist,coverImage,duration
sad,spotify:track:4R06uQw0yBQXWmatdIOlch,Those Nights,Bastille,https://i.scdn.co/image/ab67616d0000b273a16f3f34c52cbba368ef6210,4:30
,,,,,
sad,spotify:track:6S5mz361HiZquQleGlI3aD,where we are (acoustic),The Lumineers,https://i.scdn.co/image/ab67616d0000b2730465c27ade4bf59196672b71,2:47
sad,spotify:track:56eGOeSsqdg3FLxdo83TwV,Rumor,Lee Brice,https://i.scdn.co/image/ab67616d0000b2735c91538e2bc9a8c4b5cc6497,3:18
sad,spotify:track:3UJZ4VcHfSWyrMky8vobzv,Coconut Tree (with Willie Nelson),"Kenny Chesney, Willie Nelson",https://i.scdn.co/image/ab67616d0000b2735670593db8ef2b19996549bb,3:24
,,,,,
sad,spotify:track:0oZw3H6FPKh60aEFvL3q2Z,Ashes & Fire,Ryan Adams,https://i.scdn.co/image/ab67616d0000b273619dab27d3abe9c8592969f4,3:45
sad,spotify:track:6ItGPha13j36IiQlvubGrT,Here Tonight,Sam Burchfield,https://i.scdn.co/image/ab67616d0000b2732c9e8e45046d39a34ab54d0c,4:12
bitter,spotify:track:5exHP9IYyaFSeQ5Y4OtbKb,Werewolf,Fiona Apple,https://i.scdn.co/image/ab67616d0000b2731443bd487a471868735f050b,3:12
,,,,,
,,,,,
bitter,spotify:track:7g516Dn1Xrp8OdtLntHVmr,"As We Go Up, We Go Down",Guided By Voices,https://i.scdn.co/image/ab67616d0000b2734f41895a7684ba3284e81222,1:37
bitter,spotify:track:1VU6IdkzNFTpRR7vkhhiJu,Faker,Smile Empty Soul,https://i.scdn.co/image/ab67616d0000b2734b20a04b0bfbd773e8355573,3:21
bitter,spotify:track:6Z28TjDNV65WracUmCEJIY,Not a Friend - Remastered,Sebadoh,https://i.scdn.co/image/ab67616d0000b2732fb968d33b47ad60b78d0138,3:40
